stationNumber,stationName,longitude,latitude,Column3,Column4,Column5,Column6
28079004,Plaza de España,-3.7123333333333335,40.423991666666666,"3º 42' 44,40'' W","40º 25' 26,37'' N",,
28079008,Escuelas Aguirre,-3.6823194444444445,40.42156388888889,"3º 40' 56,35'' W","40º 25' 17,63'' N",,
28079011,Ramón y Cajal,-3.6773527777777777,40.45147222222222,"3º 40' 38,47'' W","40º 27' 05,30'' N",,
28079016,Arturo Soria,-3.6392333333333333,40.44004722222222,"3º 38' 21,24'' W","40º 26' 24,17'' N",,
28079017,Villaverde,-3.713327777777778,40.3471,"3º42'47,98""W","40º20'49,56""N",,
28079018,Farolillo,-3.7318333333333333,40.394777777777776,"3º 43' 54,60'' W","40º 23' 41,20'' N",,
28079024,Casa de Campo,-3.7473444444444444,40.419355555555555,"3º 44' 50,44'' W","40º 25' 09,68'' N",,
28079027,Barajas Pueblo,-3.5800277777777776,40.476927777777775,"3º 34' 48,10'' W","40º 28' 36,94'' N",,
28079035,#N/A,,,#N/A,#N/A,,
28079036,#N/A,,,#N/A,#N/A,,
28079038,#N/A,,,#N/A,#N/A,,
28079039,#N/A,,,#N/A,#N/A,,
28079040,#N/A,,,#N/A,#N/A,,
28079047,#N/A,,,#N/A,#N/A,,
28079049,Parque del Retiro,-3.6825,40.41444444444444,"3º40'57"" O","40º24'52"" N",,
28079050,Plaza Castilla,-3.6886111111111113,40.465555555555554,"03º41'19""O","40º27'56""N",,
28079054,Ensanche de Vallecas,-3.611944444444444,40.37277777777778,3º 36' 43''O,40º 22' 22'' N,,
28079055,#N/A,,,#N/A,#N/A,,
28079056,Plaza Fernández Ladreda,-3.718611111111111,40.38472222222222,3º 43' 7'' W,40º 23' 05'' N,,
28079057,Mendez Alvaro,-3.6866666666666665,40.39805555555556,"3º41'12""O","40º23'53"" N",,
28079058,El Pardo,-3.774461111111111,40.518055555555556,"3º46'28,6""","40º31'5""",,
28079059,Juan Carlos I,-3.608888888888889,40.465,3º 36' 32'' W,40º 27' 54'' N,,
28079086,Tres Olivos,-3.689722222222222,40.50055555555556,3º 41' 23' O,40º 30' 02'' N,,
28079099,#N/A,,,#N/A,#N/A,,
